#           x             y             z             p           U_x           U_y           U_z
      0.34375      -0.96875           0.5       101.749       36.0227       5.70517   6.05686e-19
     0.359375      -0.96875           0.5       101.169       36.0431       5.67602   4.07997e-19
        0.375      -0.96875           0.5        100.58       36.0632        5.6467   1.21182e-19
     0.390625      -0.96875           0.5       100.036       36.0839       5.61822   1.25083e-19
      0.40625      -0.96875           0.5       99.4773       36.1053       5.59015   1.55131e-19
     0.421875      -0.96875           0.5       98.9085       36.1255       5.56209  -2.04245e-19
       0.4375      -0.96875           0.5       98.4178       36.1454       5.53889  -3.31355e-19
     0.453125      -0.96875           0.5       97.9636       36.1658       5.51755  -4.98361e-19
      0.46875      -0.96875           0.5       97.2516       36.1861        5.4963   -7.1019e-20
     0.484375      -0.96875           0.5       96.3918       36.2118       5.47274   6.57034e-20
          0.5      -0.96875           0.5       95.4557       36.2391        5.4484   1.12244e-19
     0.515625      -0.96875           0.5       94.8057       36.2618       5.42554  -4.78741e-20
      0.53125      -0.96875           0.5       94.1764        36.284       5.39955   -1.0231e-19
     0.546875      -0.96875           0.5       93.7062       36.3037       5.37985  -1.21023e-19
       0.5625      -0.96875           0.5       92.9426       36.3286       5.36385  -5.07778e-19
     0.578125      -0.96875           0.5       92.1081       36.3544       5.34648  -6.49833e-19
      0.59375      -0.96875           0.5       91.2163       36.3799        5.3285  -5.11921e-19
     0.609375      -0.96875           0.5       90.5516       36.4023       5.31275  -1.07822e-20
        0.625      -0.96875           0.5       89.8713       36.4249       5.29584   1.38438e-19
     0.640625      -0.96875           0.5       89.1072       36.4487       5.28093    7.5384e-20
      0.65625      -0.96875           0.5       87.9552       36.4785       5.27231  -1.01135e-18
     0.671875      -0.96875           0.5       86.9956       36.5019       5.25268   3.69914e-20
       0.6875      -0.96875           0.5        86.683       36.5214       5.23311   7.85396e-20
     0.703125      -0.96875           0.5       85.9652        36.545       5.22088   3.05135e-20
      0.71875      -0.96875           0.5       85.2762       36.5689       5.21289  -4.23675e-20
     0.734375      -0.96875           0.5        84.321       36.5925       5.20109   -5.5088e-19
         0.75      -0.96875           0.5       83.6755       36.6167        5.1883  -1.64199e-20
     0.765625      -0.96875           0.5       82.8736       36.6397       5.17606   1.34554e-21
      0.78125      -0.96875           0.5       81.8786       36.6667       5.16194  -1.30716e-20
     0.796875      -0.96875           0.5       81.1525       36.6884       5.15711  -1.59472e-19
       0.8125      -0.96875           0.5       80.5339       36.7093        5.1483  -4.52022e-19
     0.828125      -0.96875           0.5       79.8429       36.7302       5.13997  -3.53394e-19
      0.84375      -0.96875           0.5       79.1298       36.7522       5.13178   4.58913e-19
     0.859375      -0.96875           0.5       78.3646       36.7741        5.1225   2.73582e-19
        0.875      -0.96875           0.5       77.6047       36.7965       5.11196   5.31858e-20
     0.890625      -0.96875           0.5       76.8526        36.819       5.10454   1.28537e-20
      0.90625      -0.96875           0.5       76.0195       36.8427       5.09836  -2.40502e-20
     0.921875      -0.96875           0.5       75.2086       36.8658       5.09351  -1.76076e-19
       0.9375      -0.96875           0.5       74.5461       36.8861       5.08874   1.47992e-19
     0.953125      -0.96875           0.5       73.8722       36.9063       5.08352   1.99882e-19
      0.96875      -0.96875           0.5       73.0632       36.9274       5.07911  -2.02777e-19
     0.984375      -0.96875           0.5       72.4264       36.9479       5.07509  -2.65193e-19
            1      -0.96875           0.5       71.7614       36.9676       5.07034  -2.47135e-19
      1.01562      -0.96875           0.5       71.0193       36.9888       5.06596    -2.249e-20
      1.03125      -0.96875           0.5       70.3135       37.0085       5.06066   5.34602e-20
      1.04688      -0.96875           0.5       69.6252        37.028       5.05569   1.04552e-20
       1.0625      -0.96875           0.5       69.0248        37.047       5.05034   1.19005e-20
      1.07812      -0.96875           0.5       68.2422        37.068       5.04622  -1.76199e-21
      1.09375      -0.96875           0.5       67.5532       37.0874       5.04372  -5.60882e-20
      1.10938      -0.96875           0.5        66.937       37.1052       5.04378  -3.85418e-19
        1.125      -0.96875           0.5        66.256        37.125       5.04067  -2.01362e-19
      1.14062      -0.96875           0.5       65.5846       37.1442       5.03709   1.08251e-20
